iid,name,kind,price,instock
0,sourdough,bread,2,1
0,wheat,bread,2,1
0,multigrain,bread,2,1
0,rye,bread,2,1
0,rosemary garlic,bread,2,1
0,bagel,bread,2.5,1
0,croissant,bread,2.5,1
0,provolone,cheese,1.5,1
0,cheddar,cheese,1.5,1
0,muenster,cheese,1.5,1
0,swiss,cheese,1.5,1
0,goat,cheese,2,1
0,brie,cheese,2,1
0,bacon,meat,1.5,1
0,ham,meat,1.5,1
0,turkey,meat,1.5,1
0,greens,free,0,1
0,tomato,free,0,1
0,mayonnaise,free,0,1
0,mustard,free,0,1
0,dijon,free,0,1
0,hot sauce,free,0,1
0,sriracha,free,0,1
0,butter,free,0,1
0,honey,free,0,1
0,sun-dried tomatoes,50-cent,0.5,1
0,roasted red peppers,50-cent,0.5,1
0,pesto,50-cent,0.5,1
0,artichoke hearts,50-cent,0.5,1
0,apple,50-cent,0.5,1
0,fig jam,50-cent,0.5,1
0,strawberry jam,50-cent,0.5,1
0,peanut butter,50-cent,0.5,1
0,cream cheese,50-cent,0.5,1
0,hummus,50-cent,0.5,1
0,pepper jelly,50-cent,0.5,1
0,walnuts,50-cent,0.5,1
0,cranberry sauce,50-cent,0.5,1
0,avocado,1-dollar,1,1
0,nutella,1-dollar,1,1
0,cookie butter,1-dollar,1,1
0,cheese sandwich,base,3.5,1
0,meat sandwich,base,3.5,1
0,meat cheese sandwich,base,5,1
0,bread only sandwich,base,2,1
0,open-faced,base,1,1
0,salt,free,0,1
0,pepper,free,0,1
0,tortilla,bread,0.5,1
