miid,name,kind,price,instock
0,Yoohoo,drink,1,1
0,San Pellegrino,drink,1.25,1
0,Capri Sun,drink,0.75,1
0,Candy,candy,0.25,1
0,Full Size Chips,snack,1,1
0,Small Chips,snack,0.75,1
0,Yogurt,snack,2,1
0,Kashi bar,snack,1,1
0,Gum,candy,1,1
0,ABCD,sandwich,5.5,1
0,LGBLT,sandwich,4.5,1
0,Bread Serious,sandwich,6.5,1
0,The Bro-wich,sandwich,5,1
0,The Consensu-el,sandwich,2,1
0,El Table Club,sandwich,7,1
0,The Green Monstah,sandwich,5,1
0,Italiano,sandwich,6,1
0,Spice Jam,sandwich,4.5,1
0,Le Petit Francais,sandwich,6,1
0,Murphys Law,sandwich,4.5,1
0,Love Snack,sandwich,3.5,1
0,Sharp n Sweet,sandwich,4.5,1
0,Nutella Croissant,sandwich,3,1
0,The Tenure Track,sandwich,7,1
0,The Tourist,sandwich,6.5,1
0,Uh Huh Honey,sandwich,4.5,1
0,The Vegan,sandwich,5,1
0,Young Money Millionaire,sandwich,5,1
0,Rosy Roasty Toasty,sandwich,4.5,1
0,Make-Your-Own,sandwich,3.5,1
0,Croissant,pastry,2,1
0,Scone,pastry,2,1
0,Muffin,pastry,2,1
0,Cookie,pastry,0.75,1
0,Coffee,drink,0.75,1
0,Tea,drink,0.5,1
0,Chai Latte,drink,2.75,1
0,Hot Chocolate,drink,2,1
0,Hot Apple Cider,drink,2,1
0,Tomato & Roasted Red Pepper,soup,2,1
0,Butternut Squash,soup,2,1
0,Black Bean,soup,2,1
0,Carrot Ginger,soup,2,1
0,Sweet Potato Bisque,soup,2,1
0,Tomato,soup,2,1
0,Mini Quesadilla,gluten-free,2,1
0,DeSombre Side Salad,gluten-free,3.5,1
0,Macintyre Side Salad,gluten-free,3.5,1
0,Hansu Side Salad,gluten-free,3.5,1
